decoder       param    acc   time  events
fixed_time     0.02  0.360  0.020     4.0
fixed_time     0.05  0.429  0.050    10.0
fixed_time      0.1  0.494  0.100    20.0
fixed_time      0.2  0.571  0.200    40.0
fixed_time     0.35  0.633  0.350    70.0
fixed_time      0.5  0.667  0.500    99.9
fixed_time     0.75  0.708  0.750   149.9
fixed_time        1  0.735  1.000   199.9
fixed_time      1.5  0.773  1.500   300.0
fixed_time        2  0.797  2.000   400.0
fixed_time        3  0.833  3.000   599.9
fixed_time        4  0.857  4.000   800.2
msprt         0.001  0.857  2.679   535.9
msprt         0.002  0.857  2.610   522.2
msprt         0.005  0.857  2.497   499.4
msprt          0.01  0.856  2.385   477.0
msprt          0.02  0.855  2.243   448.6
msprt          0.05  0.847  1.969   393.8
msprt           0.1  0.831  1.652   330.4
msprt           0.2  0.785  1.118   223.3
msprt           0.3  0.718  0.667   133.1
msprt           0.5  0.532  0.119    23.8
race              1  0.323  0.005     2.0
race              2  0.419  0.031     7.1
race              3  0.487  0.066    14.1
race              4  0.541  0.118    24.7
race              6  0.626  0.236    48.3
race              8  0.677  0.374    75.8
race             11  0.739  0.631   127.2
race             15  0.794  1.034   207.8
race             20  0.834  1.499   300.6
race             26  0.851  1.928   386.6
