
rule            K=3                K=8                K=32               K=128           
softmax         0.997±0.001      0.989±0.002      0.972±0.003      0.926±0.005   
fired_only      0.753±0.034      0.270±0.016      0.042±0.008      0.009±0.002   
fired_reward    0.790±0.009      0.847±0.009      0.390±0.031      0.014±0.004   
cf_winner       0.980±0.003      0.908±0.004      0.700±0.008      0.414±0.010   
cf_uniform      0.977±0.003      0.901±0.004      0.666±0.011      0.400±0.014   
cf_margin       0.991±0.002      0.969±0.003      0.921±0.007      0.792±0.009   

plasticity synapse-updates during training (mean):
softmax               5.13e+05            1.37e+06            5.48e+06            2.19e+07   
fired_only            7.03e+04            2.58e+05            3.52e+05            3.94e+05   
fired_reward          3.82e+05             3.9e+05            2.77e+05            1.39e+05   
cf_winner             4.25e+04            1.49e+05            3.14e+05            6.07e+05   
cf_uniform            6.56e+04            6.22e+05            5.19e+06            3.91e+07   
cf_margin             2.44e+04             1.7e+05            5.48e+05            2.44e+06   
