
rule            K=3                K=8                K=32               K=128           
softmax         0.997±0.001      0.989±0.002      0.972±0.003      0.926±0.005   
fired_only      0.028±0.004      0.024±0.003      0.042±0.008      0.008±0.001   
fired_reward    0.634±0.009      0.449±0.010      0.390±0.031      0.006±0.002   
cf_winner       0.982±0.004      0.880±0.008      0.700±0.008      0.415±0.010   
cf_uniform      0.976±0.004      0.901±0.004      0.491±0.009      0.110±0.007   
cf_margin       0.972±0.010      0.943±0.010      0.921±0.007      0.786±0.009   

plasticity synapse-updates during training (mean):
softmax               5.13e+05            1.37e+06            5.48e+06            2.19e+07   
fired_only               6e+04            1.46e+05            3.52e+05            3.94e+05   
fired_reward          3.82e+05            3.91e+05            2.77e+05            3.04e+05   
cf_winner             2.57e+04            1.07e+05            3.14e+05            6.09e+05   
cf_uniform            6.61e+04            6.23e+05            2.64e+05            3.77e+05   
cf_margin             2.13e+04             9.2e+04            5.48e+05            2.56e+06   
