     K model      acc   inf work  learn work  inputs used
   256 race     0.823      631.1        53.6         0.48
   256 sparse   0.988     1341.7      1349.8          nan
   256 dense      nan     5427.2     10854.4          nan
  1024 race     0.832     3136.7       135.6         0.59
  1024 sparse   0.980     5303.1      5325.3          nan
  1024 dense      nan    21708.8     43417.6          nan
  4096 race     0.877     3631.3        10.1         0.67
  4096 sparse   0.997     5401.6      5437.3          nan
  4096 dense      nan    86835.2    173670.4          nan
 16384 race     0.871     3708.1         9.8         0.68
 16384 sparse   0.998     5425.6      5469.5          nan
 16384 dense      nan   347340.8    694681.6          nan
